Lambda	mean_reco_loss	mean_prior_loss	mean_std_H	std_reco_loss	std_prior_loss	std_std_H	corr_H	corr_W	std_corr_h	std_corr_w
0.1	0.006885948640113397	0.04533180790756891	1.7361102153747114	0.0	0.0	0.0	0.23601338168521205	0.6556859565169748	2.7755575615628914e-17	0.0
0.24484367468222268	0.007072913411210013	0.02952436467058949	2.427488495099147	0.0	0.0	0.0	0.2794782194087749	0.6038895154451696	0.0	0.0
0.599484250318941	0.00775346521918191	0.05596540203831006	1.8091577571820026	0.0	0.0	0.0	0.3361490534078816	0.6333243447688953	0.0	0.0
1.4677992676220697	0.010007747863653237	0.01526196595033077	3.8834970946368372	0.0	1.734723475976807e-18	0.0	0.2900631195074224	0.5167664727210718	0.0	0.0
3.5938136638046276	0.015311117828744258	0.00890041311388188	5.000881496545006	1.734723475976807e-18	0.0	0.0	0.3071907875005956	0.5274348427654633	0.0	0.0
8.79922543569107	0.021371759146069258	0.005204803572906135	6.605801367152631	0.0	0.0	0.0	0.5151820504499679	0.6620095418933142	0.0	0.0
21.544346900318846	0.0212769873292748	0.0030079217891373113	8.283075234258225	0.0	0.0	0.0	0.37746188602117703	0.6189796049713614	0.0	0.0
52.749970637026195	0.022712169222681454	0.0014567013508024619	12.479443088976115	0.0	0.0	0.0	0.48444504005740496	0.6955175131633442	0.0	0.0
129.1549665014884	0.023533782014283224	0.0008200760622017772	16.557062661674376	0.0	0.0	0.0	0.4304316037664778	0.6572123520610225	0.0	0.0
316.22776601683796	0.024235459124622306	0.00045805618322684974	22.26976750688944	0.0	0.0	0.0	0.49354676294655386	0.6735431161758121	5.551115123125783e-17	0.0
